column,nulls,null_pct,dataset
review_flag,780,91.76,incidents_master
industry_secondary,697,82.0,incidents_master
attack_vector_secondary,639,75.18,incidents_master
notes,636,74.82,incidents_master
data_source_secondary,464,54.59,incidents_master
stock_ticker,438,51.53,incidents_master
downtime_hours,430,50.59,incidents_master
attributed_group,368,43.29,incidents_master
attribution_confidence,368,43.29,incidents_master
attack_chain,275,32.35,incidents_master
data_compromised_records,248,29.18,incidents_master
data_type,248,29.18,incidents_master
ransom_paid_usd,692,88.95,financial_impact
ransom_source,692,88.95,financial_impact
regulatory_fine_usd,646,83.03,financial_impact
ransom_demanded_usd,572,73.52,financial_impact
notes,530,68.12,financial_impact
insurance_payout_usd,343,44.09,financial_impact
notes,266,74.3,market_impact
days_to_price_recovery,36,10.06,market_impact
